feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
"I would like to mention the cosmetic department in charge miss suha had coordinated her best for the ceramic coating and in customer care my Hany and Mr vivian extended their best service
All of are appreciated ",positive,10,Hany Sobhy,,,2023-03-30,1,0,0,,
Wash my car very well next time.,negative,10,Faisal AliAhmed,,,2023-03-30,1,0,0,,
Washing was not done up to the standard,negative,10,Khalil Rahman,,,2023-03-30,1,0,0,,
Car wash is taking long time after the service,negative,10,Abuthahir T.S.,,,2023-03-30,1,0,0,,
"There was a system fault and the AL Masood team could not find the issue in their diagnostics. Communication was poor during the entire. This is the third time I have had this issue with this car and will never buy an Infiniti again, or buy another car from Al Masood. ",negative,1,Khalil Rahman,,,2023-03-30,0,0,1,,
"The complaint is not on the service provider but on the entire maintenance department. It needs to improve and provide excellent service. Currently, the services provided to me are very bad... My new car has been in an accident before you and I was not informed but discovered the matter while I received the car. First, I was informed that the accident and damage were old. After confirming the surveillance cameras by you, it is clear that you received the car without any damage and waiting for your response to the email... There is more  ",negative,0,Khalil Rahman,,,2023-03-30,0,0,1,,
They didn’t clean the car inside properly there was lot of mud inside the boot. I’m not happy with the service,negative,3,Khalil Rahman,,,2023-03-30,0,0,1,,
I am happy with your service and time management.,positive,10,Harish V.,,,2023-03-31,1,0,0,,
Excellent service 🌹,positive,10,Salwa Rboub,,,2023-03-31,1,0,0,,
Avtik service was very caring and excellent,positive,9,Avtik Raje,,,2023-03-31,1,0,0,,
"Your service contract and details are not clear , I have service contract WTH you and will not renewed again ",negative,5,Muhammad Habib,,,2023-03-31,0,0,1,,
"The car was washed but it wasn't washed completely, it looked dirty. Please note as Al masaood we expect it to wash it perfectly thanks",negative,5,Aries M.,,,2023-04-01,0,0,1,,
"Working hours are not suitable for all customers 
",negative,1,Marla Nunez,,,2023-04-01,0,0,1,,
Thanks for the maintenance team and special thanks to Mahmoud . Ramadan Kareem,positive,10,Mahmoud Wahhab,,,2023-04-03,1,0,0,,
Thank you to all the staff and thank you for completing the maintenance issue smoothly.,positive,10,Mahmoud Wahhab,,,2023-04-03,1,0,0,,
"The service is great in the sense of the word, especially from Mr. Mahmoud. Very sophisticated in dealing, excellent taste, professional handling and fast completion without delay",positive,10,Mahmoud Wahhab,,,2023-04-03,1,0,0,,
It is worth explaining to customer how long the service will take prior to the day.,positive,7,Adnan Aslam,,,2023-04-03,0,1,0,,
"Free service till 1,00,000 kms",negative,10,Aries M.,,,2023-04-03,1,0,0,,
"I need a call back, as I found a scratch on my car door, seems it happened during service time while someone opened the door and hit somewhere in the workshop accessories",negative,8,Marla Nunez,,,2023-04-03,0,1,0,,
"Great experience, well done Marla!",positive,8,Marla Nunez,,,2023-04-04,0,1,0,,
Offer discounts on service packages. Rest is all upto the mark including customer service.,positive,10,Md Sekander,,,2023-04-04,1,0,0,,
This visit was meeting the expectations,positive,9,Aries M.,,,2023-04-04,1,0,0,,
"All are in order except that I have to bring my car for another time as there are many works to be done and parts to purchase. Overall, the service advisor explained well about the condition of my car. ",positive,9,Hany Sobhy,,,2023-04-04,1,0,0,,
The delay is the most recent,positive,4,Mohd Noureldin,,,2023-04-04,0,0,1,,
Back to iPhone and thank you,negative,10,Salwa Rboub,,,2023-04-04,1,0,0,,
Service is excellent! Personal is very helpful and kind!,positive,10,Avtik Raje,,,2023-04-05,1,0,0,,
"Great and excellent services. I hope you will always stay 
Thank you very much. ",positive,10,Aries M.,,,2023-04-05,1,0,0,,
"I like the staff treatment and cooperation.
My thanks to Salwa.
Thanks ",positive,10,Salwa Rboub,,,2023-04-05,1,0,0,,
Mr Aswad Karim always providing best customer service,positive,10,Aswad Karim,,,2023-04-05,1,0,0,,
Nothing to mention for the time being. Many thanks,positive,9,Harish V.,,,2023-04-05,1,0,0,,
So thanks for mahammed,positive,10,Mohammad Draij,,,2023-04-05,1,0,0,,
Keep up time in servicing,positive,0,Nabeel A.,,,2023-04-05,0,0,1,,
On returning the car the door handle was missing of the drivers door. I am still waiting for the replacement. Otherwise the service was very good. Informative on arrival and everything explained clearly. This small element which has not been resolved has soured the experience,negative,6,Abuthahir T.S.,,,2023-04-05,0,0,1,,
I will not deal with you again and I will not recommend you to people.,negative,0,Harish V.,,,2023-04-05,0,0,1,,
My apple cable is missing i used it for car play am very disappointed,negative,8,Janidu Harindra,,,2023-04-05,0,1,0,,
"It was very bad and disappointed, as we brought the car without any issues, and handed in with multiple issues, vibration, rpm, check engine, and gear shifting sound as well and the car just 20,000km mileage",negative,0,Nikhil Dinesh Karnad,,,2023-04-05,0,0,1,,
Very fast service,negative,10,Faisal AliAhmed,,,2023-04-06,1,0,0,,
"The express service took 3 hours, the wash was the worst as it wasn’t done properly and left swirl marks on the body ",negative,5,Harish V.,,,2023-04-06,0,0,1,,
"I am happy with Nissan Airport Road. From booking to getting back my car, I had a pleasant experience. Ms. Marla is always helping me find the best solution whenever I have issues with my car and giving me advice. She also informs me whenever there are on-going promotions. This is the reason why I keep coming back for 9 years now. Thank you.",positive,10,Marla Nunez,,,2023-04-07,1,0,0,,
"Everything was perfect, Mr Marshood my service advisor was of so much help and guidance to me. But i would request for the car cleaning to be done in a more professional manner since the car is at the nissan agency itself. Some areas in the car were not cleaned. It would be nice to receive the car from nissan service center in it’s best condition. ",positive,8,Marshood TP,,,2023-04-07,0,1,0,,
Thanks for our agent for giving us discount.,positive,9,Janidu Harindra,,,2023-04-07,1,0,0,,
"Please check correctly because after receiving the car on the same day of delivery, it stopped working. Please take care of the check carefully",negative,4,Mohamed Mohsen,,,2023-04-07,0,0,1,,
Service package price is always high.,positive,7,Abuthahir T.S.,,,2023-04-08,0,1,0,,
Service advisor communication was not clarified and it leads to the arguments at the vehicle delivery time. His behaviour was aggressive with us.,negative,5,Mohammad Draij,,,2023-04-08,0,0,1,,
The customer gets the earliest date to maintain his car,negative,10,Abuthahir T.S.,,,2023-04-08,1,0,0,,
High prices for regular vehicle maintenance,negative,10,Avtik Raje,,,2023-04-08,1,0,0,,
"If you make a free service for my car, I would thank you because the agency asked me to pay 3 checks worth 2900 dirhams. Please help me and drop the amount. Thank you",negative,10,Adnan Aslam,,,2023-04-08,1,0,0,,
Thank you very much,positive,10,Ali Musa,,,2023-04-10,1,0,0,,
Thank you for always taking care of us!!,positive,10,Avtik Raje,,,2023-04-10,1,0,0,,
Thanks for mohamed osman he is the best,positive,10,Mohammed Osman,,,2023-04-10,1,0,0,,
Service advisor Aries is very helpful as well as the ladies from the reception.. keep the excellent customer service,positive,10,Aries M.,,,2023-04-10,1,0,0,,
The Service Agent was very helpful. Salwa Rboub in particular.,positive,10,Salwa Rboub,,,2023-04-10,1,0,0,,
Rest was not done and it’s till showing servise due change engine oil and all,negative,0,Mohammad Draij,,,2023-04-10,0,0,1,,
None thanks,negative,10,Khalil Rahman,,,2023-04-10,1,0,0,,
Excellent. He was very helpful in supporting me and updating me every step of the way. Very pleased with my car service.,positive,10,Parag Laxmayyan,,,2023-04-11,1,0,0,,
Thank you Marla for your excellent support.,positive,10,Marla Nunez,,,2023-04-11,1,0,0,,
"All good, thank you!",positive,10,Salwa Rboub,,,2023-04-11,1,0,0,,
"The maintenance was not recorded in the maintenance book, nor did I get the details of what was done, but in general the service was good and fast",positive,8,Mahmoud Wahhab,,,2023-04-11,0,1,0,,
Thanks for the service,positive,9,Suha Ali,,,2023-04-11,1,0,0,,
Thank you for good service for Nissan Service,positive,9,Faisal AliAhmed,,,2023-04-11,1,0,0,,
Great quality of service provided by my Service Advisor - Md Sekander. He gave me the best alternative options to consider.,positive,10,Md Sekander,,,2023-04-11,1,0,0,,
The personal transfer service is one of Al Masaood Car services free of charge.,positive,10,Adnan Aslam,,,2023-04-11,1,0,0,,
"Your team don't the work as required. 
",negative,1,Mahmoud Wahhab,,,2023-04-11,0,0,1,,
There is no,positive,10,Adnan Aslam,,,2023-04-12,1,0,0,,
Appreciated,positive,9,Vivian Rodricks,,,2023-04-12,1,0,0,,
It should be a special rate for persons like whom abu dhabi government employee or,positive,10,Aries M.,,,2023-04-12,1,0,0,,
Poor service,negative,0,Mohammad Draij,,,2023-04-12,0,0,1,,
Online appointment booking system needs improvement. Submitted online request 3 times but didn't get any response.,negative,9,Anandhakrishnan,,,2023-04-12,1,0,0,,
"1. Please provide free car drop facility after dropping customer car.
2. Car was never washed externally or internally - Include car wash for every service ",negative,7,Nabeel A.,,,2023-04-12,0,1,0,,
Outstanding service specifically when you know that Khalil is on duty and taking care of everything,positive,10,Khalil Rahman,,,2023-04-13,1,0,0,,
Thanks to Ahmed Albolooshi,positive,10,Mohammad Draij,,,2023-04-13,1,0,0,,
The problem with sealers they make a quick procedures once you want to take a car so far so good ‘ But when we need a help or some one to take care about our opinion we will suffering when the car will take 4 to 7 day’s work,positive,3,Mohammed Osman,,,2023-04-13,0,0,1,,
"The camel problem has not been solved 
And the air conditioner still does not give cold ",negative,1,Ali Musa,,,2023-04-13,0,0,1,,
Excellent work by Vivian and his team.keep it up,positive,10,Vivian Rodricks,,,2023-04-14,1,0,0,,
Activate the car charging service from home,positive,10,Adnan Aslam,,,2023-04-14,1,0,0,,
"To be more organized , customer friendly , respect customer time ",positive,3,Mahmoud Wahhab,,,2023-04-14,0,0,1,,
Thank you Adnan. You are always the best,positive,10,dnan Aslam,,,2023-04-15,1,0,0,,
Keep up the good work and relation with your customers,positive,10,Marshood TP,,,2023-04-15,1,0,0,,
Excellent services .,positive,10,Avtik Raje,,,2023-04-15,1,0,0,,
Improve service scheduling experience,positive,10,Avtik Raje,,,2023-04-15,1,0,0,,
Alot of things,positive,2,Nabeel A.,,,2023-04-15,0,0,1,,
"The water reservoir for wipers was well functioning before the service. After service, they have mentioned it as leaking and given quotation of big amount",negative,6,Kamal Al Saber,,,2023-04-15,0,0,1,,
Car was just cleaned from outside only. Engine bay was so dirty.,negative,8,Aswad Karim,,,2023-04-15,0,1,0,,
"Everything on the service was okay except the cleaning service (car wash) it’s not clean as the same before. 
",negative,8,Marla Nunez,,,2023-04-15,0,1,0,,
"I found after service, there is a three dot of yellow color on LH side near to the aft tire. They try to removed it and found a minor scratch after they did something and the paint protection was removed on that area and the yellow dot remains. Ms Marla take actions to send my car in musaffah service center after ramadan. Hopefully my car paint will restore in no time. 
 ",negative,9,Marla Nunez,,,2023-04-15,1,0,0,,
"Unfortunately it was the warst service ever , I wait for 2 hours and the car was not clean well and very dirty and the paper was added on the dirts even for the check it’s not checked. It was the first time visit and I think I will never advise any. I deal with Mercedes and Lexus and both are totally different than what I facing with and Iam really wish that not bought from you very low service.",negative,0,Charbel Semaan,,,2023-04-15,0,0,1,,
My car was not properly cleaned this time.. prices are too high for service and no benefits are provided to loyal customers who are with you from last 5 6 years,negative,6,Nabeel A.,,,2023-04-15,0,0,1,,
